14:26:24  [Apache] 	Attempting to stop Apache (PID: 26448)
14:26:24  [Apache] 	Status change detected: stopped
14:26:25  [mysql] 	Attempting to stop MySQL app...
14:26:25  [mysql] 	Status change detected: stopped
14:28:56  [main] 	Deinitializing Modules
14:28:56  [main] 	Deinitializing Control Panel

17:28:11  [main] 	Initializing Control Panel
17:28:11  [main] 	Windows Version:  Enterprise  64-bit
17:28:11  [main] 	XAMPP Version: 7.3.9
17:28:11  [main] 	Control Panel Version: 3.2.4  [ Compiled: Jun 5th 2019 ]
17:28:11  [main] 	You are not running with administrator rights! This will work for
17:28:11  [main] 	most application stuff but whenever you do something with services
17:28:11  [main] 	there will be a security dialogue or things will break! So think 
17:28:11  [main] 	about running this application with administrator rights!
17:28:11  [main] 	XAMPP Installation Directory: "c:\users\jorou\downloads\teraonlineserver_shock_1732\web\"
17:28:11  [main] 	Checking for prerequisites
17:28:15  [main] 	All prerequisites found
17:28:15  [main] 	Initializing Modules
17:28:15  [main] 	The FileZilla module is disabled
17:28:15  [main] 	The Mercury module is disabled
17:28:15  [main] 	Starting Check-Timer
17:28:15  [main] 	Control Panel Ready
17:28:31  [Apache] 	Attempting to start Apache app...
17:28:31  [Apache] 	Status change detected: running
17:28:32  [mysql] 	Attempting to start MySQL app...
17:28:33  [mysql] 	Status change detected: running
18:03:59  [main] 	Deinitializing Modules
18:03:59  [main] 	Deinitializing Control Panel

10:11:58  [main] 	Initializing Control Panel
10:11:58  [main] 	Windows Version:  Enterprise  64-bit
10:11:58  [main] 	XAMPP Version: 7.3.9
10:11:58  [main] 	Control Panel Version: 3.2.4  [ Compiled: Jun 5th 2019 ]
10:11:58  [main] 	You are not running with administrator rights! This will work for
10:11:58  [main] 	most application stuff but whenever you do something with services
10:11:58  [main] 	there will be a security dialogue or things will break! So think 
10:11:58  [main] 	about running this application with administrator rights!
10:11:58  [main] 	XAMPP Installation Directory: "c:\users\jorou\downloads\teraonlineserver_shock_1732\web\"
10:11:58  [main] 	Checking for prerequisites
10:11:58  [main] 	All prerequisites found
10:11:58  [main] 	Initializing Modules
10:11:59  [main] 	The FileZilla module is disabled
10:11:59  [main] 	The Mercury module is disabled
10:11:59  [main] 	Starting Check-Timer
10:11:59  [main] 	Control Panel Ready
10:12:02  [Apache] 	Attempting to start Apache app...
10:12:02  [Apache] 	Status change detected: running
10:12:02  [mysql] 	Attempting to start MySQL app...
10:12:03  [mysql] 	Status change detected: running
10:12:03  [Tomcat] 	Attempting to start Tomcat app...
10:12:09  [Tomcat] 	Tomcat Started/Stopped with errors, return code: 1
10:12:09  [Tomcat] 	Make sure you have Java JDK or JRE installed and the required ports are free
10:12:09  [Tomcat] 	Check the "/xampp/tomcat/logs" folder for more information
10:33:11  [Apache] 	Attempting to stop Apache (PID: 1200)
10:33:11  [Apache] 	Attempting to stop Apache (PID: 8140)
10:33:11  [Apache] 	Status change detected: stopped
10:33:11  [mysql] 	Attempting to stop MySQL app...
10:33:12  [mysql] 	Status change detected: stopped
17:00:16  [main] 	Deinitializing Modules
17:00:16  [main] 	Deinitializing Control Panel

21:27:36  [main] 	Initializing Control Panel
21:27:36  [main] 	Windows Version:  Enterprise  64-bit
21:27:36  [main] 	XAMPP Version: 7.3.9
21:27:36  [main] 	Control Panel Version: 3.2.4  [ Compiled: Jun 5th 2019 ]
21:27:36  [main] 	You are not running with administrator rights! This will work for
21:27:36  [main] 	most application stuff but whenever you do something with services
21:27:36  [main] 	there will be a security dialogue or things will break! So think 
21:27:36  [main] 	about running this application with administrator rights!
21:27:36  [main] 	XAMPP Installation Directory: "c:\users\jorou\downloads\teraonlineserver_shock_1732\web\"
21:27:36  [main] 	Checking for prerequisites
21:27:36  [main] 	All prerequisites found
21:27:36  [main] 	Initializing Modules
21:27:36  [main] 	The FileZilla module is disabled
21:27:36  [main] 	The Mercury module is disabled
21:27:36  [main] 	Starting Check-Timer
21:27:36  [main] 	Control Panel Ready
21:27:39  [Apache] 	Attempting to start Apache app...
21:27:39  [Apache] 	Status change detected: running
21:27:39  [mysql] 	Attempting to start MySQL app...
21:27:39  [mysql] 	Status change detected: running
21:52:12  [Apache] 	Attempting to stop Apache (PID: 3876)
21:52:12  [Apache] 	Attempting to stop Apache (PID: 12852)
21:52:13  [mysql] 	Attempting to stop MySQL app...
21:52:13  [Apache] 	Status change detected: stopped
21:52:13  [mysql] 	Status change detected: stopped
21:55:09  [main] 	Deinitializing Modules
21:55:09  [main] 	Deinitializing Control Panel

19:17:18  [main] 	Initializing Control Panel
19:17:18  [main] 	Windows Version:  Enterprise  64-bit
19:17:18  [main] 	XAMPP Version: 7.3.9
19:17:18  [main] 	Control Panel Version: 3.2.4  [ Compiled: Jun 5th 2019 ]
19:17:18  [main] 	You are not running with administrator rights! This will work for
19:17:18  [main] 	most application stuff but whenever you do something with services
19:17:18  [main] 	there will be a security dialogue or things will break! So think 
19:17:18  [main] 	about running this application with administrator rights!
19:17:18  [main] 	XAMPP Installation Directory: "c:\users\jorou\downloads\teraonlineserver_shock_1732\web\"
19:17:18  [main] 	Checking for prerequisites
19:17:19  [main] 	All prerequisites found
19:17:19  [main] 	Initializing Modules
19:17:19  [main] 	The FileZilla module is disabled
19:17:19  [main] 	The Mercury module is disabled
19:17:19  [main] 	Starting Check-Timer
19:17:19  [main] 	Control Panel Ready
19:17:21  [Apache] 	Attempting to start Apache app...
19:17:21  [Apache] 	Status change detected: running
19:17:21  [mysql] 	Attempting to start MySQL app...
19:17:23  [mysql] 	Status change detected: running
19:49:35  [mysql] 	Attempting to stop MySQL app...
19:49:35  [mysql] 	Status change detected: stopped
19:49:36  [Apache] 	Attempting to stop Apache (PID: 1252)
19:49:36  [Apache] 	Attempting to stop Apache (PID: 11872)
19:49:36  [Apache] 	Status change detected: stopped
21:27:39  [Apache] 	Status change detected: running
21:27:40  [mysql] 	Status change detected: running
21:52:13  [Apache] 	Status change detected: stopped
21:52:13  [mysql] 	Status change detected: stopped
21:55:11  [main] 	Deinitializing Modules
21:55:11  [main] 	Deinitializing Control Panel

22:47:43  [main] 	Initializing Control Panel
22:47:43  [main] 	Windows Version:  Enterprise  64-bit
22:47:43  [main] 	XAMPP Version: 7.3.9
22:47:43  [main] 	Control Panel Version: 3.2.4  [ Compiled: Jun 5th 2019 ]
22:47:43  [main] 	You are not running with administrator rights! This will work for
22:47:43  [main] 	most application stuff but whenever you do something with services
22:47:43  [main] 	there will be a security dialogue or things will break! So think 
22:47:43  [main] 	about running this application with administrator rights!
22:47:43  [main] 	XAMPP Installation Directory: "c:\users\jorou\downloads\teraonlineserver_shock_1732\web\"
22:47:43  [main] 	Checking for prerequisites
22:47:44  [main] 	All prerequisites found
22:47:44  [main] 	Initializing Modules
22:47:44  [main] 	The FileZilla module is disabled
22:47:44  [main] 	The Mercury module is disabled
22:47:44  [main] 	Starting Check-Timer
22:47:44  [main] 	Control Panel Ready
22:47:45  [Apache] 	Attempting to start Apache app...
22:47:46  [Apache] 	Status change detected: running
22:47:49  [mysql] 	Attempting to start MySQL app...
22:47:49  [mysql] 	Status change detected: running
23:26:51  [main] 	Deinitializing Modules
23:26:51  [main] 	Deinitializing Control Panel

23:34:09  [main] 	Initializing Control Panel
23:34:09  [main] 	Windows Version:  Enterprise  64-bit
23:34:09  [main] 	XAMPP Version: 7.3.9
23:34:09  [main] 	Control Panel Version: 3.2.4  [ Compiled: Jun 5th 2019 ]
23:34:09  [main] 	You are not running with administrator rights! This will work for
23:34:09  [main] 	most application stuff but whenever you do something with services
23:34:09  [main] 	there will be a security dialogue or things will break! So think 
23:34:09  [main] 	about running this application with administrator rights!
23:34:09  [main] 	XAMPP Installation Directory: "c:\users\jorou\downloads\teraonlineserver_shock_1732\web\"
23:34:09  [main] 	Checking for prerequisites
23:34:09  [main] 	All prerequisites found
23:34:09  [main] 	Initializing Modules
23:34:09  [Apache] 	XAMPP Apache is already running on port 80
23:34:09  [Apache] 	XAMPP Apache is already running on port 443
23:34:09  [mysql] 	XAMPP MySQL is already running on port 3306
23:34:09  [main] 	The FileZilla module is disabled
23:34:09  [main] 	The Mercury module is disabled
23:34:09  [main] 	Starting Check-Timer
23:34:09  [main] 	Control Panel Ready
23:36:12  [Apache] 	Attempting to stop Apache (PID: 12308)
23:36:12  [Apache] 	Attempting to stop Apache (PID: 12052)
23:36:12  [Apache] 	Status change detected: stopped
23:36:13  [mysql] 	Attempting to stop MySQL app...
23:36:13  [mysql] 	Status change detected: stopped
23:36:14  [mysql] 	Attempting to start MySQL app...
23:36:14  [mysql] 	Status change detected: running
23:36:15  [Apache] 	Attempting to start Apache app...
23:36:15  [Apache] 	Status change detected: running
23:38:23  [Apache] 	Attempting to stop Apache (PID: 9096)
